id,text,angle
1,The part everyone rewinds is at 0:47,curiosity
2,I almost deleted this one,curiosity
3,This started as a voice note at 3am,process
4,Nobody needs another sad song. This isn't one.,contrarian
5,Turn this up or don't play it at all,direct
6,It took 40 versions to get this drop right,process
7,Producers will hear it. Everyone else will just feel it.,contrarian
8,Wait for the beat switch,curiosity
9,This got saved 4000 times before it released,social-proof
10,My mum heard this and asked who it was,social-proof
11,If this flops I'm going back to the day job,stakes
12,The sample is from a cassette I found in Cairo,process
13,Made this in one sitting. Didn't touch it again.,process
14,Everyone said the intro was too long. It stays.,contrarian
15,Play this at night. Trust me.,direct
16,The bass hits different on headphones,direct
17,Three producers turned this idea down,stakes
18,This is what 6 months of no sleep sounds like,stakes
19,I recorded the vocal on my phone. Kept it.,process
20,Skip to 0:32 if you're impatient,curiosity
21,The loudest room I ever played wanted this on repeat,social-proof
22,I wasn't going to release this,curiosity
23,Egyptian trap. No apologies.,direct
24,The strings are real. The rest isn't.,process
25,Studio version vs the demo. Which one?,curiosity
26,Somebody asked for the instrumental. Here it is.,direct
27,This one cost me a friendship,stakes
28,I stole this melody from a taxi radio,process
29,Comments said make it faster. So I did.,social-proof
30,You've heard the chorus. Now hear where it came from.,curiosity
31,Not for playlists. For 2am.,contrarian
32,I mixed this eleven times,process
33,First take. Never beat it.,process
34,This is the version the label didn't want,stakes
35,One instrument. That's it.,contrarian
36,The reason this works is the silence before the drop,process
37,Add it before it gets everywhere,direct
38,My most-DMed unreleased track,social-proof
39,I made the beat before I had the words,process
40,Sound on. Obviously.,direct
41,This didn't exist a week ago,process
42,The hardest four bars I've written,stakes
43,Everything I learned in three years is in this loop,process
44,No autotune. Not a flex, just a fact.,contrarian
45,Play it once. You'll play it again.,direct
46,The demo went viral. This is the real one.,social-proof
47,I don't usually post these,curiosity
48,Warning: this loop is 12 seconds and unskippable,curiosity
49,Recorded in a room with no treatment,process
50,I wrote this on the metro home,process
51,Best headphones you own. Now.,direct
52,It's the second half that gets you,curiosity
53,Producers: the kick is mono below 90Hz,process
54,This is the one my artists fight over,social-proof
55,I gave this beat away once. Never again.,stakes
56,Turn the bass up until something rattles,direct
57,Nobody clears samples anymore. I did.,contrarian
58,The vocal take that made everyone stop,social-proof
59,Six months old and I still can't skip it,curiosity
60,Full track in bio. Don't come back and say I didn't say.,direct
